
2021-01-16T04:10:18.642600,74,ecg,detected,1
2021-01-16T04:10:18.842547,74,thermometer,processed,1
2021-01-16T04:10:18.842703,74,thermometer,detected,1
2021-01-16T04:10:19.843004,75,thermometer,processed,1
2021-01-16T04:10:19.843133,75,thermometer,detected,1
2021-01-16T04:10:20.643593,76,ecg,processed,0
2021-01-16T04:10:20.843542,76,thermometer,processed,0
2021-01-16T04:10:20.843679,76,thermometer,detected,1
2021-01-16T04:10:21.243832,77,oximeter,processed,1
2021-01-16T04:10:21.244014,77,oximeter,detected,1
2021-01-16T04:10:21.643939,77,ecg,processed,1
2021-01-16T04:10:21.644121,77,ecg,detected,1
2021-01-16T04:10:22.644483,78,ecg,processed,1
2021-01-16T04:10:22.644671,78,ecg,detected,1
2021-01-16T04:10:23.244903,79,oximeter,processed,0
2021-01-16T04:10:23.444962,79,oximeter,processed,0
2021-01-16T04:10:23.445111,79,oximeter,detected,1
2021-01-16T04:10:23.645135,79,ecg,processed,1
2021-01-16T04:10:23.645317,79,ecg,detected,1
2021-01-16T04:10:23.845256,79,thermometer,processed,1
2021-01-16T04:10:23.845513,79,thermometer,detected,1
2021-01-16T04:10:24.845687,80,thermometer,processed,1
2021-01-16T04:10:24.845826,80,thermometer,detected,1
2021-01-16T04:10:25.245964,81,oximeter,processed,1
2021-01-16T04:10:25.246149,81,oximeter,detected,1
2021-01-16T04:10:25.646141,81,ecg,processed,1
2021-01-16T04:10:25.646367,81,ecg,detected,1
2021-01-16T04:10:25.846213,81,thermometer,processed,1
2021-01-16T04:10:25.846350,81,thermometer,detected,1
2021-01-16T04:10:26.246434,82,oximeter,processed,1
2021-01-16T04:10:26.246628,82,oximeter,detected,1
2021-01-16T04:10:26.646692,82,ecg,processed,1
2021-01-16T04:10:26.646861,82,ecg,detected,1
2021-01-16T04:10:26.846763,82,thermometer,processed,1
2021-01-16T04:10:26.846889,82,thermometer,detected,1
2021-01-16T04:10:27.247018,83,oximeter,processed,1
2021-01-16T04:10:27.247211,83,oximeter,detected,1
2021-01-16T04:10:27.647267,83,ecg,processed,1
2021-01-16T04:10:27.647431,83,ecg,detected,1
2021-01-16T04:10:27.847405,83,thermometer,processed,1
2021-01-16T04:10:27.847616,83,thermometer,detected,1
2021-01-16T04:10:28.247449,84,oximeter,processed,1
2021-01-16T04:10:28.247588,84,oximeter,detected,1
2021-01-16T04:10:28.647756,84,ecg,processed,1
2021-01-16T04:10:28.647949,84,ecg,detected,1
2021-01-16T04:10:28.847759,84,thermometer,processed,1
2021-01-16T04:10:28.847869,84,thermometer,detected,1
2021-01-16T04:10:29.248068,85,oximeter,processed,1
2021-01-16T04:10:29.248275,85,oximeter,detected,1
2021-01-16T04:10:29.648308,85,ecg,processed,1
2021-01-16T04:10:29.648462,85,ecg,detected,1
2021-01-16T04:10:29.848455,85,thermometer,processed,1
2021-01-16T04:10:29.848641,85,thermometer,detected,1
2021-01-16T04:10:30.248546,86,oximeter,processed,1
2021-01-16T04:10:30.248655,86,oximeter,detected,1
2021-01-16T04:10:30.648942,86,ecg,processed,1
2021-01-16T04:10:30.649181,86,ecg,detected,1
